,Sold Price
31112,1655000.0
29079,870000.0
28062,1405000.0
15812,2125000.0
37780,1870000.0
1808,455000.0
20103,1150000.0
40522,520000.0
40680,159659.0
33162,1000000.0
31125,1188000.0
33179,905000.0
18035,1226500.0
31589,1350000.0
46662,915000.0
23315,110000.0
8292,507000.0
37627,1210000.0
20018,1910000.0
4476,4650000.0
8580,775000.0
12420,697000.0
31513,901000.0
31696,3150000.0
23828,265000.0
28812,445000.0
42107,2405000.0
39522,940000.0
5314,1226000.0
33061,675000.0
21982,1200000.0
2149,1238000.0
40303,888000.0
43546,1240000.0
17648,1450000.0
17075,1200000.0
45369,1850000.0
7504,585000.0
31807,1238000.0
31538,850000.0
42194,1080000.0
45137,660000.0
4364,182818.0
41234,880000.0
38921,360000.0
12689,964000.0
13793,4350000.0
27276,445000.0
25766,379000.0
34414,320000.0
23312,3325000.0
36620,1575000.0
34277,1810000.0
45130,622500.0
45665,570000.0
2873,1820000.0
44852,1485000.0
3411,515000.0
19853,567100.0
41384,1230000.0
45258,510000.0
10153,1400000.0
3249,1299000.0
45759,825000.0
30816,925000.0
39163,2645000.0
29968,1562500.0
21805,1045000.0
42737,519000.0
21303,830000.0
20043,1725000.0
41405,378000.0
7774,1415000.0
5556,1510000.0
21804,915000.0
8501,1110000.0
32239,1075000.0
20121,1198000.0
32819,102500.0
37900,376500.0
41408,622500.0
16074,484350.0
44214,665000.0
19802,1725000.0
5150,1600000.0
39001,955000.0
36084,1450000.0
737,1709000.0
24078,310000.0
10734,4800000.0
44815,227000.0
43328,155000.0
19159,700000.0
23035,3125000.0
11095,1750000.0
44653,349900.0
21618,780000.0
29891,568000.0
9966,1439000.0
12290,1428000.0
2682,950000.0
34798,1700000.0
7611,700000.0
20612,825000.0
5021,2700000.0
41226,206500.0
12631,2175000.0
41198,860000.0
32650,878000.0
24637,1185000.0
8132,765000.0
33721,1073500.0
14526,252000.0
18775,285500.0
35215,458500.0
24778,1105000.0
17029,1010000.0
11394,3000000.0
34580,1725000.0
11435,2350000.0
20684,210000.0
41225,340000.0
30860,415000.0
8392,613000.0
25537,335000.0
7197,760000.0
32864,1101000.0
11700,164000.0
10464,200000.0
4810,645000.0
15529,531500.0
10328,825000.0
40952,2175000.0
43032,320000.0
19263,1555000.0
27839,215000.0
720,715000.0
34834,530000.0
21327,930000.0
13593,1450000.0
28846,2260000.0
31578,720000.0
22126,1695000.0
23749,1320000.0
8391,830000.0
42519,860000.0
47249,988000.0
3735,500000.0
27537,710000.0
35298,1100000.0
9404,523000.0
27905,1150000.0
36280,360000.0
6192,745000.0
28383,1305000.0
20964,860000.0
45659,2200000.0
31889,2300000.0
4737,3154000.0
43950,390000.0
29014,1420000.0
46925,460000.0
33276,1050000.0
35143,1050000.0
7473,1125000.0
34765,1040000.0
7638,915000.0
46423,1943000.0
26097,1110000.0
32092,1910000.0
43822,340000.0
22678,910000.0
13090,789000.0
10891,115000.0
18834,1900000.0
22726,257000.0
33750,720000.0
17568,1230000.0
21724,1353000.0
18605,460000.0
5534,785000.0
21820,545000.0
17542,720000.0
30155,760000.0
34443,772000.0
42001,935000.0
26938,1113888.0
2096,1735000.0
8409,730000.0
15286,910000.0
45743,632000.0
2637,570000.0
43880,350000.0
27865,1685000.0
1040,1105000.0
26853,630000.0
16957,3650000.0
44608,745000.0
22580,1834000.0
240,1700000.0
34993,130000.0
4136,1669688.0
46145,595000.0
33732,680000.0
46970,1110000.0
25055,325000.0
17158,765000.0
18476,215000.0
47011,470000.0
19825,1450000.0
46254,289999.0
15432,1200000.0
16392,1250000.0
44496,2575000.0
20935,165000.0
30180,1640000.0
32730,2600000.0
27981,780000.0
27625,1741670.0
20793,948000.0
36823,2050000.0
26920,2178000.0
22152,1460000.0
38307,1018000.0
39373,2875000.0
32111,443000.0
6876,360000.0
15507,1450000.0
6400,1925000.0
28310,2267300.0
12616,1116600.0
20077,240000.0
25951,272500.0
23037,610000.0
32638,135000.0
20290,150000.0
5105,1876544.0
26744,625000.0
44021,669000.0
28312,1660000.0
27838,3200000.0
13168,1255000.0
32020,550000.0
30641,160000.0
26510,750000.0
5049,1580000.0
9823,1715000.0
23062,980000.0
11633,590000.0
29869,1638000.0
28552,850000.0
16139,675000.0
19436,639000.0
7984,150000.0
26904,1500000.0
31708,939500.0
36313,849000.0
41124,255000.0
47274,4320000.0
33493,2000000.0
4592,2470000.0
20244,1150000.0
33083,710000.0
37172,720000.0
15634,1010000.0
8622,1625000.0
35414,925000.0
30988,1475000.0
42766,329500.0
17172,935000.0
15717,144000.0
47359,2975000.0
21314,660000.0
34301,440000.0
44629,620000.0
20879,252500.0
30721,475000.0
44856,264000.0
11867,680000.0
24599,3715000.0
22075,850000.0
15769,1170000.0
10882,100500.0
38787,370000.0
9917,1020000.0
626,1999000.0
17081,3150000.0
5488,610000.0
41011,1150000.0
23293,975000.0
14933,1275000.0
15602,2410000.0
16519,1182000.0
24331,910000.0
14223,925000.0
23709,730000.0
5539,2700000.0
6963,1065000.0
22218,2035000.0
30712,2160000.0
20663,255000.0
28464,237000.0
41618,675000.0
9193,660000.0
7247,1375000.0
24297,2215000.0
12742,270000.0
37324,690000.0
30120,570000.0
28256,899000.0
2586,738100.0
20628,575000.0
45112,1045000.0
43843,862500.0
41663,577000.0
2390,2483000.0
41564,540000.0
16967,410000.0
35269,377000.0
11903,3700000.0
26639,1450000.0
37221,1050000.0
36773,490000.0
24008,870000.0
44228,1185000.0
23875,948000.0
42412,442000.0
9514,910000.0
12143,1030000.0
35596,750000.0
24390,880000.0
25208,556000.0
16801,2690000.0
11956,759000.0
16686,655000.0
5909,390000.0
38825,1890000.0
34013,2015000.0
31754,550000.0
17657,624000.0
24307,2068000.0
5295,465000.0
13192,965000.0
3258,1250000.0
40575,450000.0
22905,912500.0
31122,880000.0
6555,623000.0
11343,807000.0
41201,730000.0
6198,1270000.0
33366,273000.0
26414,395000.0
13634,1060000.0
10763,2148000.0
29097,875000.0
45461,1195000.0
23754,1400000.0
20133,1118000.0
39079,322500.0
12758,1160000.0
10992,499000.0
3538,170000.0
35161,2250000.0
26977,1009000.0
26983,140000.0
11153,221000.0
38394,1004000.0
31784,1465000.0
32690,1198000.0
25355,2250000.0
42005,327000.0
46379,4385000.0
33251,950021.0
4144,1020000.0
22249,555000.0
38796,1350000.0
44456,444500.0
30382,1430000.0
38237,838000.0
32940,4350000.0
43255,1207021.0
15093,1400000.0
9820,1025000.0
45462,1100000.0
15996,1475000.0
4987,711000.0
39441,460000.0
38806,367000.0
41112,3350000.0
35259,787000.0
42655,1158000.0
37579,1480000.0
33552,1145000.0
47214,1675000.0
40865,480000.0
10677,500000.0
8243,600000.0
41288,1545000.0
36051,525000.0
14717,595000.0
37745,539000.0
46242,1136000.0
8764,2000000.0
32282,1310000.0
21913,503000.0
6040,1300000.0
34937,1370000.0
9329,2300000.0
32328,550000.0
8857,1260000.0
33934,179000.0
23891,1235000.0
16227,1440000.0
16696,960000.0
37195,1850000.0
18631,1380000.0
20723,648000.0
7609,1135000.0
44230,270000.0
45441,515000.0
35829,1140000.0
24092,350000.0
35379,140000.0
44587,499000.0
4884,3274050.0
498,200000.0
32393,1600000.0
45712,400000.0
45091,485000.0
38280,1535000.0
23093,653000.0
26198,680000.0
12024,443500.0
1269,1380000.0
31062,725000.0
39883,1390000.0
5015,570000.0
34006,990000.0
8105,2630000.0
30140,185500.0
14420,579950.0
12733,2525000.0
26174,2295389.0
8333,2700000.0
12779,915000.0
14393,412000.0
21738,2300000.0
23061,870000.0
3241,630000.0
23228,1058000.0
19139,1150000.0
42098,1255000.0
34668,3900000.0
43938,154000.0
34171,426500.0
15102,4240000.0
37503,1355000.0
17503,1104500.0
38661,385000.0
10364,1712500.0
35249,610000.0
29198,850000.0
25033,490000.0
40146,1125000.0
7281,479000.0
40105,1200000.0
19546,190000.0
34419,3968500.0
30263,700000.0
22478,1105000.0
27445,1389375.0
27379,1805000.0
12874,185000.0
9037,1150000.0
178,2205000.0
14288,2650000.0
9699,710850.0
2708,515000.0
32392,662000.0
13778,1070000.0
36439,1700000.0
36691,3000000.0
40729,738000.0
5455,1568888.0
935,700000.0
35920,350000.0
12084,700000.0
47065,190000.0
2480,760000.0
13199,285000.0
27122,4300000.0
19635,1400000.0
18918,1460000.0
45483,315000.0
40622,1090000.0
47367,885000.0
9684,690000.0
23295,862500.0
37894,350000.0
15445,1450000.0
24189,125000.0
43775,2140000.0
33411,250000.0
16787,795000.0
31534,2150000.0
16012,2050000.0
27255,531000.0
8805,1200000.0
21784,525000.0
4217,1700000.0
36126,2220000.0
42977,195000.0
23691,1399000.0
15974,1843000.0
6007,1375000.0
1079,879500.0
45995,330000.0
35305,1130000.0
45387,1088750.0
38844,1471190.0
15869,2210000.0
33145,581000.0
28509,2300000.0
7234,560000.0
31192,950000.0
13800,800000.0
40093,385000.0
27734,910000.0
30226,950000.0
14909,2100000.0
37761,847000.0
11376,2425000.0
33798,1350000.0
30225,1260000.0
40487,1325000.0
45684,305000.0
37610,1375000.0
792,980000.0
1795,430000.0
29585,1700000.0
34652,450000.0
44664,520000.0
21222,150000.0
8188,2630000.0
30088,988000.0
39792,885500.0
20979,3325000.0
20127,2538000.0
37622,1110000.0
32030,835000.0
39491,1485000.0
43892,1300000.0
618,425000.0
59,1600000.0
14153,530000.0
47411,1698000.0
7965,2802000.0
22997,1450000.0
9202,2000000.0
25899,2800000.0
42125,525000.0
30081,835000.0
45931,1136000.0
30269,1209635.0
6815,205000.0
36072,1725000.0
43354,330000.0
23841,1000000.0
12479,2205000.0
1495,490000.0
46027,3325000.0
37086,950000.0
18057,520000.0
37436,640000.0
13069,1760000.0
23906,600000.0
39689,1415000.0
4210,806500.0
16676,836000.0
47352,639950.0
45097,430000.0
5592,1240000.0
15179,720000.0
44283,905000.0
29777,255000.0
32920,1695000.0
28076,1250000.0
42835,1510000.0
44297,260000.0
4321,461000.0
25927,657000.0
44330,2920000.0
3978,505000.0
42152,1750000.0
34066,3300000.0
46544,865000.0
40978,780000.0
32243,675000.0
24456,1125000.0
32203,850000.0
33115,1395000.0
21824,1786000.0
45668,975000.0
1534,468000.0
23928,3500000.0
17610,1265000.0
24462,759000.0
41444,2683750.0
36385,1495000.0
21190,2275000.0
20107,2900000.0
22947,415000.0
8085,400000.0
40661,260000.0
28896,906000.0
22521,845000.0
18385,1435000.0
23587,767500.0
44432,890000.0
26831,320000.0
17252,1055000.0
46762,330000.0
10608,2800000.0
15100,190000.0
7523,610000.0
44164,565000.0
31324,580000.0
46611,1670000.0
201,1460000.0
31206,353000.0
28994,1757000.0
9075,1235000.0
5458,1750000.0
13006,1335000.0
537,1570000.0
2158,270000.0
44404,1115000.0
11229,710000.0
37349,1005000.0
4624,491000.0
15317,1050000.0
550,1185000.0
34961,700000.0
30001,4400500.0
32491,430000.0
24737,1540000.0
23122,1009000.0
12347,162500.0
20397,1500000.0
44396,2800000.0
28474,502000.0
18663,365000.0
21682,1750000.0
13025,2175000.0
28301,689500.0
43157,350900.0
29761,390500.0
44072,1175000.0
16151,1325000.0
885,1240000.0
4738,880000.0
18449,1220000.0
21950,560000.0
37412,348000.0
36959,810000.0
4531,800000.0
15897,940000.0
2948,1185800.0
46173,862001.0
36901,575000.0
28133,1272000.0
31792,1611782.0
41086,435000.0
17798,3200000.0
13161,246500.0
29240,164000.0
45903,368845.0
11623,2058588.0
8195,1635000.0
6904,857000.0
26888,1440000.0
44221,630000.0
32509,2260000.0
43306,1295000.0
41833,760000.0
12414,1252000.0
4722,619000.0
19991,156900.0
7850,965000.0
24867,1650000.0
37882,860000.0
10855,945000.0
37828,915000.0
10056,1388000.0
41217,815000.0
18320,756000.0
510,177000.0
16340,1115000.0
43923,1100000.0
45912,200000.0
13585,1250000.0
33818,1180000.0
42146,1050000.0
37048,519500.0
17356,212500.0
26626,1954000.0
2837,825000.0
18324,340000.0
41651,1620000.0
17258,1380000.0
24813,1260000.0
8772,170000.0
17255,950000.0
12509,1250000.0
43827,1000000.0
17483,910000.0
34800,480000.0
1523,200000.0
17519,1211000.0
5338,925000.0
13075,1800000.0
31986,1750000.0
27106,4000002.0
25510,690000.0
35873,500000.0
32944,1305000.0
44038,140000.0
34654,1356000.0
31643,140000.0
39869,3410000.0
3265,1325000.0
679,1050000.0
30210,540000.0
9298,795000.0
5005,737000.0
34109,3227000.0
31782,412000.0
34,1605000.0
5598,700000.0
24618,1700000.0
31905,460000.0
5434,820000.0
6425,908000.0
4741,1250000.0
32226,3850000.0
10128,1121000.0
8329,450000.0
42122,610000.0
17927,1444000.0
32914,1355000.0
7204,790000.0
44624,1700000.0
8780,395000.0
46705,1997000.0
365,1013000.0
38046,540000.0
17176,370000.0
22039,775000.0
31795,3600000.0
17014,860000.0
37085,799000.0
10094,369900.0
3420,565000.0
45324,300000.0
38685,1975000.0
12712,4000000.0
6932,725000.0
27482,840000.0
45005,450000.0
4051,1575000.0
40333,1990000.0
20143,880000.0
16927,737000.0
9707,650000.0
28487,488000.0
37080,194000.0
24345,815000.0
29361,3999000.0
42962,615000.0
3492,632000.0
3964,920000.0
42892,760000.0
14872,800000.0
22441,1195000.0
43450,350000.0
3240,200000.0
4342,730000.0
18032,3450000.0
26434,871000.0
34512,850000.0
36490,760000.0
35199,1180000.0
30039,650000.0
47389,1995000.0
34768,305500.0
47271,900000.0
18730,805000.0
20371,749000.0
5126,1300000.0
26596,625000.0
2155,1136000.0
31695,629000.0
10446,670000.0
5500,925000.0
43173,1390000.0
22657,1249000.0
41701,975000.0
26486,625000.0
6314,950000.0
23481,305000.0
36093,1020000.0
512,655000.0
28668,345000.0
30179,1467000.0
29055,1767000.0
22655,3400000.0
13465,3750000.0
22407,645000.0
1819,1940740.0
16751,700000.0
29981,175000.0
30637,850000.0
40244,2950000.0
35949,440000.0
18627,2051000.0
20073,1200000.0
14264,835000.0
28374,2292000.0
41148,390000.0
46200,2900000.0
18103,2900000.0
25202,510000.0
14297,2085000.0
36113,1501000.0
28583,2920000.0
40363,494000.0
28810,1200000.0
14870,262000.0
10694,3185000.0
45023,610000.0
42019,255000.0
26199,2005000.0
19536,389000.0
11693,1300000.0
43770,536000.0
17882,586000.0
7033,1756000.0
2213,1175000.0
1767,590000.0
38309,2000000.0
44073,455000.0
36704,255000.0
18036,3800000.0
12156,1450000.0
36003,950000.0
41023,575000.0
32591,2900000.0
16629,1000000.0
38053,970000.0
22456,1200000.0
15519,1800000.0
3870,590000.0
39871,1325000.0
36219,1395000.0
45217,1092500.0
46015,630000.0
10719,830000.0
38541,630000.0
42143,460000.0
30940,1840000.0
38819,1260000.0
44600,1750000.0
8382,500000.0
22091,480000.0
20558,4000260.0
25711,3025000.0
15947,529000.0
7828,2050000.0
47287,715000.0
37126,1100000.0
17055,1225500.0
26582,2152000.0
242,825000.0
18953,2450000.0
15043,1125000.0
17025,955000.0
39256,725000.0
16375,1920000.0
45727,825000.0
43451,325000.0
20804,595000.0
4657,720000.0
39374,685000.0
45159,267000.0
23354,3891000.0
35019,861000.0
25009,840000.0
4855,1300000.0
35958,715000.0
32116,1625000.0
8881,447000.0
6453,700000.0
16671,2391000.0
39349,1550000.0
28225,535000.0
17530,500000.0
40762,420000.0
27663,6280000.0
4219,875000.0
25498,465000.0
28880,820000.0
46755,505000.0
8776,1250000.0
3548,1860000.0
4976,2158000.0
16241,1910000.0
16903,1040000.0
38809,772000.0
17644,268000.0
25356,1685000.0
42426,159000.0
14645,220000.0
32686,1500000.0
41061,1410000.0
7371,380000.0
197,212000.0
39932,680000.0
34469,725000.0
6600,705000.0
43389,801000.0
8577,550000.0
3347,2060000.0
35384,640000.0
21005,1995000.0
28424,495000.0
19123,590000.0
29730,1150000.0
35202,915000.0
33209,2650000.0
45196,1208000.0
17870,1400000.0
25026,200000.0
37262,370000.0
26150,900000.0
36634,3670000.0
11767,2900000.0
14477,1498000.0
42929,1700000.0
24470,1400000.0
12037,1170000.0
22473,225000.0
19956,515000.0
17348,469888.0
21657,1850000.0
29346,850000.0
6659,1915000.0
45584,407000.0
46835,780000.0
34932,1960000.0
45249,610000.0
12375,950000.0
10968,235000.0
18689,415000.0
42307,255000.0
8817,920000.0
11189,1195000.0
35735,795000.0
25061,1039000.0
659,1532000.0
20504,1300000.0
18299,2600000.0
32031,2657850.0
41369,1300000.0
39372,585000.0
43163,258200.0
29951,1375000.0
25937,2000000.0
12588,1230000.0
33611,1170000.0
14737,525000.0
43438,1450000.0
665,859900.0
35261,870000.0
16599,729000.0
10706,1675000.0
38907,175000.0
5128,1650000.0
722,1970500.0
31850,1745000.0
6033,849000.0
23936,1970000.0
40048,1038888.0
3924,1800000.0
38193,700000.0
46551,920000.0
34289,1414000.0
44242,330250.0
21257,860000.0
40218,515000.0
5383,2750000.0
28660,890000.0
13698,1120000.0
28265,505000.0
36739,1198000.0
47314,202000.0
30720,970000.0
38772,1250000.0
17669,950000.0
14740,2100000.0
18494,1025000.0
33120,1820000.0
21502,388000.0
45866,450000.0
770,1750000.0
42042,699000.0
23192,755000.0
39504,5500000.0
37683,1495000.0
17772,555000.0
22808,1220000.0
3383,1312500.0
6277,2820000.0
9836,685000.0
18785,1275000.0
34331,625000.0
27152,210000.0
17131,900000.0
9351,1575000.0
10242,4000000.0
32042,294000.0
7621,160000.0
35781,500000.0
19613,1070000.0
35620,895000.0
4562,1390000.0
18460,1230000.0
16118,1327000.0
1639,215000.0
23101,1575500.0
14525,3618000.0
26202,468000.0
12708,1200000.0
29503,2250000.0
40120,925000.0
538,4068000.0
12273,1270000.0
9477,2175000.0
2695,822000.0
16319,1410000.0
33022,899000.0
21591,430000.0
38710,580000.0
10135,3500000.0
6082,230000.0
32455,825000.0
38916,460000.0
25604,901000.0
29816,1400000.0
23760,985000.0
35218,1300000.0
43997,245000.0
13553,815050.0
8272,1395000.0
17672,820000.0
2562,225000.0
25041,1210000.0
3238,633000.0
43246,435000.0
22575,1250000.0
10241,1638000.0
23975,848000.0
25093,1950000.0
33647,220000.0
20720,1760000.0
14487,1930300.0
34797,1550000.0
45620,1400000.0
44033,929000.0
35438,605000.0
43459,2100000.0
41868,2050000.0
26002,700000.0
10325,455000.0
4874,532000.0
47387,440000.0
8586,1425000.0
18234,1155000.0
35615,1300000.0
28881,282639.0
29006,226000.0
45350,1177500.0
17801,550000.0
37313,3385000.0
33279,420000.0
1470,935000.0
23125,4400000.0
32808,925000.0
31310,1360000.0
21178,585000.0
7328,1250000.0
10493,1230000.0
44459,413000.0
33709,1160000.0
25252,2680000.0
9752,2084000.0
31478,1400400.0
43581,457500.0
5324,645000.0
31361,335500.0
50,1780000.0
7718,1700000.0
25954,582000.0
22350,1750000.0
42306,850000.0
23693,740000.0
40410,180000.0
23682,780000.0
36615,2299000.0
33299,1420000.0
31390,685000.0
34070,470000.0
13186,800000.0
2306,2680000.0
5810,1350000.0
36623,840000.0
19879,3375000.0
10221,529000.0
17393,1040000.0
18916,916000.0
1794,1925000.0
12523,1027500.0
11919,980000.0
40804,1158000.0
2380,155000.0
26020,952000.0
13883,989000.0
33176,327500.0
27934,145000.0
39894,1500000.0
23674,2710000.0
33677,810000.0
18752,1433000.0
19353,245000.0
42948,262000.0
44316,330000.0
29862,2342000.0
42331,176000.0
44405,310000.0
20456,1250000.0
15630,735000.0
43651,850000.0
36588,1900000.0
38478,3150000.0
46400,455000.0
24717,280000.0
18743,3350000.0
33266,695000.0
18601,3160000.0
2080,2500000.0
4024,935000.0
11187,2259000.0
38354,615000.0
34462,335000.0
38548,880000.0
14433,1850000.0
46219,1425000.0
25231,650000.0
11339,1550000.0
43193,2200000.0
14788,1735000.0
12829,760000.0
15197,1250000.0
21608,910000.0
35998,175000.0
16332,2250000.0
18107,1628000.0
4778,326000.0
13219,1725000.0
26712,570000.0
43584,750000.0
39964,281500.0
6818,1295000.0
44572,315000.0
6064,380000.0
37040,630000.0
44773,1100000.0
17273,1750000.0
34542,640000.0
36071,2975000.0
15285,1100000.0
2012,1020000.0
1382,1225000.0
19084,750000.0
33524,799000.0
44123,1158000.0
4550,632000.0
45240,2450000.0
18836,1499000.0
29813,1210000.0
43007,648000.0
11235,1800000.0
36942,500000.0
5675,715000.0
41558,755000.0
8913,1760000.0
38739,1050000.0
46631,1285000.0
19476,1555000.0
14440,1302000.0
16021,1600000.0
12377,2175000.0
35091,1415000.0
1330,1340000.0
15440,1380000.0
23496,570000.0
3933,2550000.0
6436,1575000.0
2473,1220000.0
37320,1638000.0
29005,1250000.0
20985,590000.0
17931,1360000.0
44484,801338.0
24892,1400000.0
38222,935000.0
9732,716000.0
38030,620000.0
20256,3000000.0
17078,515000.0
12077,1111000.0
20887,1345000.0
31182,940000.0
26915,1240000.0
14255,1135000.0
9386,730000.0
43382,1751000.0
37117,140000.0
40236,1470000.0
46691,545000.0
30663,1150000.0
15442,1177500.0
8688,1050000.0
44154,1930000.0
27454,525000.0
8744,1730000.0
29960,930000.0
28735,440000.0
20024,1750000.0
21792,795000.0
21469,555000.0
17851,235000.0
42886,1268888.0
37189,577500.0
33648,855000.0
6471,242000.0
13867,1100000.0
45988,475000.0
623,955000.0
34054,965000.0
13948,1185000.0
31419,1300000.0
1046,1320000.0
1687,1361000.0
37217,862500.0
42687,1065000.0
35300,1970000.0
10305,450000.0
8324,675000.0
26735,2062508.0
30392,659000.0
41261,340000.0
9804,270000.0
4407,1230000.0
26248,950000.0
43483,2400000.0
40197,620000.0
18451,290000.0
42552,1486875.0
39073,348000.0
33556,1680000.0
5583,4925000.0
33584,405000.0
2934,1300000.0
16875,920000.0
1242,800000.0
2816,1200000.0
26579,2450000.0
26846,1150000.0
26822,864500.0
26433,1899000.0
45063,810000.0
10972,1490000.0
15955,2475000.0
39273,492000.0
6573,4787500.0
19636,1305323.0
8949,1000000.0
35082,720000.0
47393,2025000.0
36294,1500000.0
9761,255000.0
39228,502000.0
47067,365000.0
28890,482000.0
20355,1140000.0
1699,725000.0
43155,560000.0
24928,1495000.0
15730,500000.0
13528,260000.0
45652,705000.0
22545,950000.0
10602,1700000.0
4227,930000.0
31785,1361000.0
31651,1030000.0
39536,350000.0
17447,1500000.0
43699,450000.0
27510,1000000.0
22823,807500.0
29500,1950000.0
43380,1300000.0
38666,625000.0
4427,2150000.0
45110,612000.0
41746,500000.0
20833,1785000.0
40348,485000.0
29578,1290000.0
31586,1380000.0
4252,636000.0
22468,435000.0
40386,538000.0
22363,890000.0
18434,1738000.0
29966,1050000.0
41718,710000.0
31961,950000.0
36764,1010000.0
46481,550000.0
26427,1005000.0
18813,2080000.0
20480,1100000.0
1062,410000.0
5786,2450000.0
19723,1210000.0
19658,1415000.0
46074,1115000.0
22402,1700000.0
37458,1240000.0
38759,775670.0
40768,935000.0
42611,215000.0
455,1490000.0
34409,596000.0
31647,2200000.0
41697,675000.0
42561,1235000.0
38325,1430000.0
41221,3675000.0
21084,1450000.0
1649,170000.0
16474,1770000.0
16163,510000.0
19891,1450000.0
34539,1499000.0
14652,1620000.0
27762,550000.0
10731,155000.0
7574,940000.0
10563,1550000.0
6823,900000.0
16279,1173000.0
6960,489950.0
31099,405000.0
19666,962500.0
29616,1850000.0
32666,2500000.0
886,665000.0
9711,1800000.0
2265,1930000.0
32276,350000.0
5025,2980000.0
35404,380000.0
13286,359000.0
42011,1010000.0
11353,900000.0
32853,1600000.0
25218,520000.0
36970,1120000.0
21648,965000.0
5031,890000.0
9153,495000.0
44598,1005000.0
32586,645000.0
32564,1350000.0
23859,879500.0
13961,1055000.0
19681,4900000.0
10358,480000.0
12145,2260000.0
36130,689000.0
26820,450000.0
4784,169000.0
24855,705000.0
40361,1230000.0
1016,750000.0
31139,1150500.0
18480,1450000.0
22991,1325000.0
36955,1850000.0
45306,500000.0
40652,760000.0
37764,1475000.0
33218,1550000.0
27989,1290000.0
25620,159000.0
35245,549900.0
28575,1850000.0
3293,820000.0
19771,315000.0
12905,190000.0
26619,157500.0
43744,805000.0
17008,3699999.0
14679,1048000.0
32876,275000.0
11201,820000.0
12396,905000.0
23198,430000.0
18486,5600000.0
42794,915000.0
11276,650000.0
38572,1170000.0
35286,650000.0
19220,925000.0
39559,1940000.0
18994,4150000.0
24262,625000.0
1823,780000.0
2772,534000.0
7817,885000.0
6577,870000.0
1720,986400.0
33703,225000.0
6594,450000.0
32524,2130000.0
9209,1900000.0
5309,605000.0
46085,1385000.0
11357,2026000.0
37095,215000.0
12040,1470000.0
19290,170000.0
29783,220000.0
723,750000.0
24573,979000.0
19867,1295000.0
13706,677000.0
8025,842500.0
6557,1525000.0
19818,1252000.0
8500,1280000.0
29220,1330000.0
27695,760000.0
16353,700000.0
30000,880000.0
22112,616500.0
35770,665000.0
16723,1875000.0
41052,1582000.0
33888,249500.0
17458,995000.0
45706,805000.0
6499,400000.0
29469,2020000.0
27475,680000.0
44961,280000.0
38281,502000.0
6583,1750000.0
43662,1460000.0
9782,179000.0
28011,930000.0
14904,822000.0
39774,2405000.0
26398,265000.0
15311,590000.0
16481,3100000.0
27308,2900000.0
30703,2000000.0
23605,875000.0
35688,1000000.0
4164,560000.0
6720,1330000.0
18847,289000.0
18193,163000.0
12154,2100000.0
9035,1022500.0
11711,750000.0
26328,1028000.0
15929,650000.0
45867,435000.0
8696,1588000.0
37290,590000.0
41939,800000.0
22759,3000000.0
38674,820000.0
38033,815000.0
19213,1700000.0
494,1425000.0
