,Income_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,F,M,College,Doctorate,Graduate,High School,Post-Graduate,Uneducated,Divorced,Married,Single,Blue,Gold,Silver
54,0.0,0.4984984984984985,0.0,0.7352352352352352,0.6691691691691692,0.9512573719230065,0.9179179179179179,0.0010184963364855096,0.0035035035035035035,0.050050050050050046,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
56,0.3069306930693069,0.4984984984984985,0.11411411411411411,0.3788788788788789,0.0,0.3893893893893894,0.5475475475475475,0.06238981351189612,0.21121121121121122,0.3003003003003003,0.9620826812728219,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
57,0.504950495049505,0.9484484484484484,0.4974974974974975,0.3788788788788789,0.6691691691691692,0.6005026843469735,0.9428918590522479,0.09509509509509509,0.06506506506506507,0.9879879879879879,0.6262662807525325,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
59,0.702970297029703,0.3303303303303303,0.4974974974974975,0.9494494494494494,0.6691691691691692,0.494922525431,0.40040040040040037,0.035384075174651086,0.04804804804804805,0.9769769769769769,0.7097097097097097,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
62,0.702970297029703,0.2982982982982983,0.7027027027027026,0.7352352352352352,0.6691691691691692,0.6953710822419793,0.851510046631998,0.06714782832839283,0.05655655655655656,0.965965965965966,0.45145145145145144,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
64,0.0,0.8378378378378378,0.4974974974974975,0.3788788788788789,0.34184184184184185,0.9370045194124035,0.8843843843843844,0.06055980792822899,0.023023023023023025,0.8653653653653655,0.3303303303303303,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
66,0.702970297029703,0.9654654654654654,0.7027027027027026,0.7352352352352352,0.6691691691691692,0.7271697439092585,0.24524524524524524,0.07557557557557558,0.13513513513513514,0.4419419419419419,0.5155155155155156,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
67,0.3069306930693069,0.033533533533533534,1.0,0.7352352352352352,0.6691691691691692,0.20040205649695267,0.8948948948948949,0.030029823154650935,0.05655655655655656,0.2302302302302302,0.8683683683683684,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
68,0.702970297029703,0.2702702702702703,0.11411411411411411,0.3788788788788789,0.34184184184184185,0.11711711711711711,0.9949679262233563,0.16078578578578578,0.0065065065065065065,0.9981935886846892,0.8293293293293292,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
71,0.3069306930693069,0.7857857857857857,0.7027027027027026,0.7352352352352352,0.6691691691691692,0.23359022056869516,0.56006006006006,0.12612612612612611,0.15015015015015015,0.02102102102102102,0.6626626626626626,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
75,1.0,0.4984984984984985,0.7027027027027026,0.7352352352352352,0.34184184184184185,0.6566567754698319,0.7467467467467468,0.06055980792822899,0.1086086086086086,0.0960960960960961,0.5280055159762272,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
76,0.3069306930693069,0.4984984984984985,1.0,0.9494494494494494,0.34184184184184185,0.7440473988361126,0.06106106106106106,0.02824680025937888,0.023023023023023025,0.9962575445467473,0.5855855855855856,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
77,0.3069306930693069,0.18568568568568566,0.4974974974974975,0.9494494494494494,0.34184184184184185,0.7452547975323885,0.5495495495495496,0.3281854508971215,0.40740740740740744,0.9033328016766051,0.4954954954954955,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
78,0.702970297029703,0.2122122122122122,1.0,0.1091091091091091,0.34184184184184185,0.3156856665460872,0.43343343343343343,0.10810810810810811,0.023023023023023025,0.044044044044044044,0.8828828828828829,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
80,0.702970297029703,0.6336336336336337,0.4974974974974975,0.9494494494494494,0.0,0.8031005111603216,0.963963963963964,0.10510510510510511,0.22572572572572572,0.9878315815815816,0.43843843843843844,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
85,0.702970297029703,0.9034034034034034,0.7027027027027026,0.7352352352352352,0.0,0.44910576286155884,0.8288288288288288,0.12307287174543811,0.13513513513513514,0.4419419419419419,0.7947947947947948,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
86,0.0,0.3633633633633634,0.4974974974974975,0.3788788788788789,0.11211211211211211,0.9869751356761733,0.22072072072072074,0.04217948518466653,0.0845845845845846,0.5615615615615616,0.3263263263263263,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
87,0.3069306930693069,0.3633633633633634,0.7027027027027026,0.3788788788788789,0.6691691691691692,0.5648625778678503,0.06706706706706707,0.04913305462325072,0.0960960960960961,0.3003003003003003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
88,0.702970297029703,0.24224224224224222,0.4974974974974975,0.7352352352352352,0.11211211211211211,0.90561903166047,0.9974922753548893,0.09197253666182709,0.002002002002002002,0.9957443795097853,0.27227227227227224,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
90,0.3069306930693069,0.4984984984984985,0.27877877877877877,0.3788788788788789,0.34184184184184185,0.8462573812732822,0.5040040040040039,0.057146481029799176,0.016016016016016016,0.983983983983984,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
92,0.504950495049505,0.4984984984984985,0.4974974974974975,0.9494494494494494,0.6691691691691692,0.72692175110105,0.17617617617617617,0.10710710710710711,0.12112112112112111,0.3383383383383384,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
93,1.0,0.7857857857857857,0.7027027027027026,0.9494494494494494,0.11211211211211211,0.3511611649686963,0.7357357357357357,0.05984880302393954,0.06506506506506507,0.8828828828828829,0.9154154154154155,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
95,0.3069306930693069,0.9654654654654654,1.0,0.9494494494494494,0.6691691691691692,0.12179238773375974,0.993818166286842,0.16116116116116116,0.0960960960960961,0.8338338338338338,0.7087087087087087,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
96,0.504950495049505,0.3633633633633634,0.7027027027027026,0.9494494494494494,0.34184184184184185,0.5123492663286017,0.20370370370370372,0.06656866862662746,0.07457457457457457,0.026226226226226227,0.5760760760760761,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
97,0.504950495049505,0.3633633633633634,0.7027027027027026,0.7352352352352352,0.34184184184184185,0.5471272348550599,0.9229229229229229,0.1456500256567574,0.24024024024024024,0.46796796796796797,0.6462140992167107,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
98,0.0,0.9484484484484484,0.27877877877877877,0.3788788788788789,0.0,0.839832623162166,0.1716716716716717,0.033820905304281265,0.011511511511511512,0.5710710710710711,0.4729729729729729,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
102,0.0,0.3303303303303303,1.0,0.3788788788788789,0.34184184184184185,0.42005304349169154,0.14714714714714713,0.05312893742125157,0.1086086086086086,0.15765765765765766,0.6316316316316316,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
103,0.3069306930693069,0.2702702702702703,0.27877877877877877,0.7352352352352352,0.6691691691691692,0.43920530960408266,0.6266266266266266,0.06306306306306306,0.0035035035035035035,0.990990990990991,0.7957957957957957,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
105,0.3069306930693069,0.2982982982982983,0.11411411411411411,0.7352352352352352,0.6691691691691692,0.7971429728416098,0.5680680680680681,0.13313313313313313,0.16566566566566565,0.2092092092092092,0.3303303303303303,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
107,0.702970297029703,0.4984984984984985,0.7027027027027026,0.3788788788788789,0.6691691691691692,0.9328607679455576,0.969189434247165,0.04843730456809478,0.07457457457457457,0.4419419419419419,0.4024024024024024,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
110,0.702970297029703,0.6966966966966966,0.4974974974974975,0.7352352352352352,0.0,0.8003547579298831,0.14364364364364363,0.07308593178158394,0.0960960960960961,0.06706706706706707,0.46546546546546547,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
112,0.702970297029703,0.4984984984984985,0.7027027027027026,0.1091091091091091,0.34184184184184185,0.48229691082275644,0.19019019019019018,0.05143041088526607,0.13513513513513514,0.04104104104104104,0.6986986986986987,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
113,0.3069306930693069,0.4984984984984985,0.11411411411411411,0.3788788788788789,0.34184184184184185,0.07493023845763574,0.9942258179117431,0.06457613606165293,0.027027027027027025,0.9992354731874878,0.6661661661661662,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
114,1.0,0.3633633633633634,1.0,0.1091091091091091,0.0,0.9209731825292757,0.6341341341341341,0.08408408408408408,0.16566566566566565,0.943943943943944,0.30930930930930933,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
115,1.0,0.4984984984984985,1.0,0.3788788788788789,0.34184184184184185,0.9852458033236069,0.9967032432898765,0.04843730456809478,0.009009009009009009,0.992992992992993,0.25625625625625625,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
117,1.0,0.6966966966966966,0.4974974974974975,0.1091091091091091,0.9074074074074074,0.8484201266620863,0.9971333268913712,0.14898231564898232,0.033533533533533534,0.6876876876876876,0.3883883883883884,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
119,0.3069306930693069,0.8378378378378378,0.27877877877877877,0.3788788788788789,0.6691691691691692,0.6615887660088973,0.6821821821821822,0.12917051049624106,0.1816816816816817,0.9224224224224224,0.5825825825825826,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
121,0.3069306930693069,0.4984984984984985,0.4974974974974975,0.1091091091091091,0.0,0.4674674674674675,0.5775775775775776,0.0502561109848559,0.06506506506506507,0.32432432432432434,0.7903631842852026,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
122,1.0,0.9034034034034034,0.27877877877877877,0.3788788788788789,0.34184184184184185,0.8982922667159664,0.9907234222600813,0.15845691196814796,0.1816816816816817,0.9922608016212902,0.3808808808808809,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
123,0.504950495049505,0.7592592592592593,0.4974974974974975,0.7352352352352352,0.6691691691691692,0.5469536538795348,0.15365365365365363,0.14114114114114115,0.3088088088088088,0.06131131131131131,0.6146146146146146,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
125,0.702970297029703,0.4984984984984985,0.4974974974974975,0.3788788788788789,0.34184184184184185,0.41541541541541543,0.3658658658658659,0.06431039064576134,0.027027027027027025,0.7842842842842843,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
127,1.0,0.7592592592592593,0.27877877877877877,0.7352352352352352,0.34184184184184185,0.885215415767931,0.24974974974974976,0.004745825024328068,0.023023023023023025,0.044044044044044044,0.4314314314314314,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
128,0.504950495049505,0.8613613613613613,0.27877877877877877,0.1091091091091091,0.34184184184184185,0.920717398367575,0.7307307307307307,0.1213177392886398,0.06506506506506507,0.9879879879879879,0.3103103103103103,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
130,0.3069306930693069,0.4984984984984985,0.7027027027027026,0.1091091091091091,0.34184184184184185,0.2774249319415722,0.6266266266266266,0.019157707541831704,0.005005005005005005,0.6726726726726726,0.9569569569569569,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
132,1.0,0.8828828828828829,0.27877877877877877,0.3788788788788789,0.6691691691691692,0.990615798305432,0.957190335390071,0.13263263263263264,0.05655655655655656,0.9924920199491963,0.2957957957957958,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
133,1.0,0.8123123123123124,0.27877877877877877,0.1091091091091091,0.9074074074074074,0.5394484528916996,0.9885241437947556,0.13663081830284401,0.12112112112112111,0.512012012012012,0.8468468468468469,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
134,0.3069306930693069,0.6336336336336337,0.11411411411411411,0.1091091091091091,0.6691691691691692,0.4776948446450269,0.11711711711711711,0.11483757224397485,0.0960960960960961,0.9224224224224224,0.48648648648648646,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
135,0.504950495049505,0.6656656656656657,0.27877877877877877,0.1091091091091091,0.0,0.8877848216369617,0.3943943943943944,0.03645933628602605,0.04804804804804805,0.8778778778778779,0.2732732732732733,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
136,0.702970297029703,0.4984984984984985,0.7027027027027026,0.7352352352352352,0.34184184184184185,0.7747747747747747,0.7187187187187187,0.01968312990057392,0.04054054054054054,0.5840840840840841,0.5105105105105106,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
137,0.702970297029703,0.7287287287287287,0.7027027027027026,0.1091091091091091,0.0,0.8579429712334683,0.9944973209525771,0.3780196381352451,0.24024024024024024,0.9746213127823544,0.33433433433433435,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
139,0.3069306930693069,0.13413413413413414,0.4974974974974975,0.3788788788788789,0.34184184184184185,0.708533193599097,0.8468468468468469,0.04104104104104104,0.011511511511511512,0.5710710710710711,0.6136136136136137,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
140,0.3069306930693069,0.6656656656656657,0.0,0.7352352352352352,0.6691691691691692,0.783885803779703,0.3148148148148148,0.001906140578674866,0.009009009009009009,0.7117117117117117,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
142,1.0,0.3303303303303303,0.11411411411411411,0.7352352352352352,0.34184184184184185,0.93993993993994,0.9978816431797224,0.13613613613613612,0.033533533533533534,0.990990990990991,0.4024024024024024,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
143,0.3069306930693069,0.4984984984984985,0.27877877877877877,0.3788788788788789,0.6691691691691692,0.715385346384111,0.023726493527148118,0.043043043043043044,0.013513513513513514,0.4419419419419419,0.4159159159159159,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
144,0.702970297029703,0.9734734734734735,0.11411411411411411,0.7352352352352352,0.6691691691691692,0.9415423843043849,0.45345345345345345,0.00022097005855706552,0.0,0.9224224224224224,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
145,0.3069306930693069,0.6656656656656657,0.27877877877877877,0.3788788788788789,0.6691691691691692,0.3715120914164231,0.5635635635635636,0.005837449483610239,0.005005005005005005,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
146,0.3069306930693069,0.2702702702702703,1.0,0.7352352352352352,0.34184184184184185,0.24424424424424424,0.9533241802822859,0.14714714714714713,0.0845845845845846,0.999101627457006,0.9934101811448495,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
147,0.0,0.9484484484484484,0.27877877877877877,0.3788788788788789,0.0,0.8679039965153664,0.9731565900889132,0.1404738071404738,0.12112112112112111,0.9224224224224224,0.3683683683683684,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
149,1.0,0.07707707707707707,0.4974974974974975,0.1091091091091091,0.6691691691691692,0.8310157934462624,0.16416416416416416,0.06404964554135824,0.1966966966966967,0.34984984984984985,0.3383383383383383,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
152,0.504950495049505,0.24224224224224222,0.11411411411411411,0.3788788788788789,0.6691691691691692,0.9804114623284143,0.7627627627627628,0.06306306306306306,0.019519519519519517,0.25225225225225223,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
153,0.702970297029703,0.7592592592592593,1.0,0.3788788788788789,0.34184184184184185,0.2798866855524079,0.058058058058058054,0.02518293262377648,0.06506506506506507,0.975975975975976,0.8158158158158159,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
